ID Type,Section,Massa linear,Area,d,bf,tw,bf/2tf,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Length
5,W250X22.3,0.0223,0.00285,0.254,0.102,0.00584,7.41,0.0000287,0.000262,0.000226,0.1,0.0000012,0.0000377,0.0000238,0.0206,0.0000000433,2.9
8,W310X23.8,0.0238,0.00304,0.305,0.101,0.00559,7.53,0.0000429,0.000329,0.00028,0.119,0.00000117,0.000037,0.0000231,0.0196,0.0000000429,3.6
8,W310X23.8,0.0238,0.00304,0.305,0.101,0.00559,7.53,0.0000429,0.000329,0.00028,0.119,0.00000117,0.000037,0.0000231,0.0196,0.0000000429,3.8
8,W310X23.8,0.0238,0.00304,0.305,0.101,0.00559,7.53,0.0000429,0.000329,0.00028,0.119,0.00000117,0.000037,0.0000231,0.0196,0.0000000429,8.5
4,W200X52,0.052,0.00665,0.206,0.204,0.00787,8.1,0.0000529,0.000569,0.000511,0.0892,0.0000177,0.000264,0.000174,0.0516,0.00000032,0.7
4,W200X52,0.052,0.00665,0.206,0.204,0.00787,8.1,0.0000529,0.000569,0.000511,0.0892,0.0000177,0.000264,0.000174,0.0516,0.00000032,2.6
4,W200X52,0.052,0.00665,0.206,0.204,0.00787,8.1,0.0000529,0.000569,0.000511,0.0892,0.0000177,0.000264,0.000174,0.0516,0.00000032,8.3
6,W250X49.1,0.0491,0.00626,0.247,0.202,0.00737,9.15,0.0000712,0.000636,0.000574,0.106,0.0000152,0.000229,0.000151,0.0493,0.000000243,8
6,W250X49.1,0.0491,0.00626,0.247,0.202,0.00737,9.15,0.0000712,0.000636,0.000574,0.106,0.0000152,0.000229,0.000151,0.0493,0.000000243,7.6
6,W250X49.1,0.0491,0.00626,0.247,0.202,0.00737,9.15,0.0000712,0.000636,0.000574,0.106,0.0000152,0.000229,0.000151,0.0493,0.000000243,8
19,W410X38.8,0.0388,0.00495,0.399,0.14,0.00635,7.97,0.000125,0.000724,0.000629,0.159,0.00000399,0.0000898,0.0000572,0.0284,0.000000109,9.1
19,W410X38.8,0.0388,0.00495,0.399,0.14,0.00635,7.97,0.000125,0.000724,0.000629,0.159,0.00000399,0.0000898,0.0000572,0.0284,0.000000109,1.6
19,W410X38.8,0.0388,0.00495,0.399,0.14,0.00635,7.97,0.000125,0.000724,0.000629,0.159,0.00000399,0.0000898,0.0000572,0.0284,0.000000109,7.5
13,W360X44,0.044,0.00571,0.351,0.171,0.00686,8.74,0.000121,0.000775,0.000688,0.146,0.00000816,0.000147,0.0000954,0.0378,0.000000158,2.2
13,W360X44,0.044,0.00571,0.351,0.171,0.00686,8.74,0.000121,0.000775,0.000688,0.146,0.00000816,0.000147,0.0000954,0.0378,0.000000158,2
13,W360X44,0.044,0.00571,0.351,0.171,0.00686,8.74,0.000121,0.000775,0.000688,0.146,0.00000816,0.000147,0.0000954,0.0378,0.000000158,9.9
9,W310X60,0.06,0.00755,0.302,0.203,0.00749,7.77,0.000128,0.000934,0.000844,0.13,0.0000184,0.000275,0.00018,0.0493,0.000000377,5.9
9,W310X60,0.06,0.00755,0.302,0.203,0.00749,7.77,0.000128,0.000934,0.000844,0.13,0.0000184,0.000275,0.00018,0.0493,0.000000377,3.7
9,W310X60,0.06,0.00755,0.302,0.203,0.00749,7.77,0.000128,0.000934,0.000844,0.13,0.0000184,0.000275,0.00018,0.0493,0.000000377,6.4
21,W460X60,0.06,0.00761,0.455,0.153,0.008,5.73,0.000255,0.00128,0.00112,0.183,0.00000795,0.000164,0.000104,0.0323,0.000000337,1.9
21,W460X60,0.06,0.00761,0.455,0.153,0.008,5.73,0.000255,0.00128,0.00112,0.183,0.00000795,0.000164,0.000104,0.0323,0.000000337,5.7
21,W460X60,0.06,0.00761,0.455,0.153,0.008,5.73,0.000255,0.00128,0.00112,0.183,0.00000795,0.000164,0.000104,0.0323,0.000000337,9.5
7,W250X101,0.101,0.0128,0.264,0.257,0.0119,6.58,0.000164,0.0014,0.00124,0.113,0.0000558,0.000657,0.000433,0.0658,0.00000148,4.3
7,W250X101,0.101,0.0128,0.264,0.257,0.0119,6.58,0.000164,0.0014,0.00124,0.113,0.0000558,0.000657,0.000433,0.0658,0.00000148,7.4
7,W250X101,0.101,0.0128,0.264,0.257,0.0119,6.58,0.000164,0.0014,0.00124,0.113,0.0000558,0.000657,0.000433,0.0658,0.00000148,7.6
20,W410X85,0.085,0.0108,0.417,0.181,0.0109,4.98,0.000316,0.00172,0.00151,0.171,0.0000179,0.00031,0.000198,0.0406,0.000000924,4.2
20,W410X85,0.085,0.0108,0.417,0.181,0.0109,4.98,0.000316,0.00172,0.00151,0.171,0.0000179,0.00031,0.000198,0.0406,0.000000924,6.8
14,W360X91,0.091,0.0115,0.353,0.254,0.00953,7.75,0.000266,0.00167,0.00151,0.152,0.0000445,0.000537,0.000352,0.0622,0.000000912,2.8
14,W360X91,0.091,0.0115,0.353,0.254,0.00953,7.75,0.000266,0.00167,0.00151,0.152,0.0000445,0.000537,0.000352,0.0622,0.000000912,3
14,W360X91,0.091,0.0115,0.353,0.254,0.00953,7.75,0.000266,0.00167,0.00151,0.152,0.0000445,0.000537,0.000352,0.0622,0.000000912,5.7
20,W410X85,0.085,0.0108,0.417,0.181,0.0109,4.98,0.000316,0.00172,0.00151,0.171,0.0000179,0.00031,0.000198,0.0406,0.000000924,7.6
10,W310X107,0.107,0.0136,0.312,0.305,0.0109,8.99,0.000248,0.00177,0.0016,0.135,0.0000812,0.000806,0.000531,0.0772,0.00000122,3.4
10,W310X107,0.107,0.0136,0.312,0.305,0.0109,8.99,0.000248,0.00177,0.0016,0.135,0.0000812,0.000806,0.000531,0.0772,0.00000122,3.4
10,W310X107,0.107,0.0136,0.312,0.305,0.0109,8.99,0.000248,0.00177,0.0016,0.135,0.0000812,0.000806,0.000531,0.0772,0.00000122,7.3
22,W460X106,0.106,0.0135,0.47,0.194,0.0126,4.71,0.000487,0.00239,0.00208,0.191,0.0000251,0.000405,0.000259,0.0432,0.00000145,2.3
22,W460X106,0.106,0.0135,0.47,0.194,0.0126,4.71,0.000487,0.00239,0.00208,0.191,0.0000251,0.000405,0.000259,0.0432,0.00000145,2.5
22,W460X106,0.106,0.0135,0.47,0.194,0.0126,4.71,0.000487,0.00239,0.00208,0.191,0.0000251,0.000405,0.000259,0.0432,0.00000145,7.1
15,W360X162,0.162,0.0206,0.363,0.371,0.0133,8.49,0.000516,0.00315,0.00283,0.158,0.000186,0.00152,0.001,0.0947,0.00000296,1.8
15,W360X162,0.162,0.0206,0.363,0.371,0.0133,8.49,0.000516,0.00315,0.00283,0.158,0.000186,0.00152,0.001,0.0947,0.00000296,6.2
15,W360X162,0.162,0.0206,0.363,0.371,0.0133,8.49,0.000516,0.00315,0.00283,0.158,0.000186,0.00152,0.001,0.0947,0.00000296,9.6
11,W310X202,0.202,0.0257,0.34,0.315,0.0201,4.96,0.000516,0.00351,0.00305,0.142,0.000166,0.00161,0.00105,0.0803,0.0000077,2.3
11,W310X202,0.202,0.0257,0.34,0.315,0.0201,4.96,0.000516,0.00351,0.00305,0.142,0.000166,0.00161,0.00105,0.0803,0.0000077,3.6
11,W310X202,0.202,0.0257,0.34,0.315,0.0201,4.96,0.000516,0.00351,0.00305,0.142,0.000166,0.00161,0.00105,0.0803,0.0000077,9
23,W460X193,0.193,0.0247,0.49,0.284,0.017,4.65,0.00102,0.00475,0.0042,0.204,0.000116,0.00126,0.000818,0.0686,0.00000604,4.1
23,W460X193,0.193,0.0247,0.49,0.284,0.017,4.65,0.00102,0.00475,0.0042,0.204,0.000116,0.00126,0.000818,0.0686,0.00000604,9.4
23,W460X193,0.193,0.0247,0.49,0.284,0.017,4.65,0.00102,0.00475,0.0042,0.204,0.000116,0.00126,0.000818,0.0686,0.00000604,9.5
16,W360X287,0.287,0.0366,0.394,0.399,0.0226,5.45,0.000999,0.00582,0.00508,0.165,0.000388,0.00295,0.00195,0.103,0.0000145,0.8
16,W360X287,0.287,0.0366,0.394,0.399,0.0226,5.45,0.000999,0.00582,0.00508,0.165,0.000388,0.00295,0.00195,0.103,0.0000145,4
16,W360X287,0.287,0.0366,0.394,0.399,0.0226,5.45,0.000999,0.00582,0.00508,0.165,0.000388,0.00295,0.00195,0.103,0.0000145,9.3
12,W310X375,0.375,0.0478,0.391,0.33,0.0356,2.89,0.00113,0.00701,0.00578,0.154,0.000345,0.00321,0.00208,0.0848,0.000045,1.9
12,W310X375,0.375,0.0478,0.391,0.33,0.0356,2.89,0.00113,0.00701,0.00578,0.154,0.000345,0.00321,0.00208,0.0848,0.000045,7.4
12,W310X375,0.375,0.0478,0.391,0.33,0.0356,2.89,0.00113,0.00701,0.00578,0.154,0.000345,0.00321,0.00208,0.0848,0.000045,9.7
24,W460X349,0.349,0.0443,0.536,0.297,0.0295,2.76,0.00204,0.009,0.00764,0.214,0.000232,0.00244,0.00157,0.0724,0.0000328,2.3
24,W460X349,0.349,0.0443,0.536,0.297,0.0295,2.76,0.00204,0.009,0.00764,0.214,0.000232,0.00244,0.00157,0.0724,0.0000328,3.7
24,W460X349,0.349,0.0443,0.536,0.297,0.0295,2.76,0.00204,0.009,0.00764,0.214,0.000232,0.00244,0.00157,0.0724,0.0000328,5
17,W360X509,0.509,0.0652,0.445,0.417,0.0391,3.31,0.00204,0.011,0.00914,0.177,0.000753,0.00554,0.00362,0.108,0.0000741,9
17,W360X509,0.509,0.0652,0.445,0.417,0.0391,3.31,0.00204,0.011,0.00914,0.177,0.000753,0.00554,0.00362,0.108,0.0000741,2.1
17,W360X509,0.509,0.0652,0.445,0.417,0.0391,3.31,0.00204,0.011,0.00914,0.177,0.000753,0.00554,0.00362,0.108,0.0000741,2.3
18,W360X818,0.818,0.105,0.513,0.437,0.0605,2.25,0.00393,0.0193,0.0153,0.194,0.00135,0.00955,0.00619,0.114,0.000278,3.1
18,W360X818,0.818,0.105,0.513,0.437,0.0605,2.25,0.00393,0.0193,0.0153,0.194,0.00135,0.00955,0.00619,0.114,0.000278,5.7
18,W360X818,0.818,0.105,0.513,0.437,0.0605,2.25,0.00393,0.0193,0.0153,0.194,0.00135,0.00955,0.00619,0.114,0.000278,7
